Date,Open,High,Low,Close,Adj Close,Volume
2021-09-16,20259.349609,20259.349609,19975.849609,20043.849609,19640.357422,1697
2021-09-17,20240.000000,20287.349609,20097.800781,20179.449219,19773.228516,2696
2021-09-20,20199.000000,20389.900391,20110.050781,20312.050781,19903.160156,2192
2021-09-21,20350.000000,20350.000000,20025.000000,20152.000000,19746.332031,888
2021-09-22,20153.000000,20153.000000,19850.349609,19929.800781,19528.605469,5499
2021-09-23,20128.900391,20128.900391,19815.000000,19841.699219,19442.275391,33471
2021-09-24,19855.000000,19979.849609,19790.800781,19892.000000,19491.566406,2694
2021-09-27,19850.000000,19899.500000,19620.000000,19656.699219,19261.001953,3141
2021-09-28,19697.000000,19714.199219,19480.000000,19555.000000,19161.349609,2073
2021-09-29,19480.000000,19704.349609,19424.150391,19472.400391,19080.412109,4908
2021-09-30,19618.900391,19618.900391,19320.349609,19450.750000,19059.197266,836
2021-10-01,19475.000000,19640.449219,19244.849609,19553.500000,19159.880859,1601
2021-10-04,19549.900391,19645.099609,19398.800781,19494.550781,19102.115234,1782
2021-10-05,19661.650391,19661.650391,19350.000000,19399.849609,19009.320313,755
2021-10-06,19399.849609,19619.800781,19080.150391,19171.949219,18786.011719,2508
2021-10-07,19201.000000,19298.500000,18998.000000,19049.599609,18666.123047,2046
2021-10-08,18998.000000,19160.699219,18945.000000,18996.050781,18613.652344,2721
2021-10-11,18999.000000,19197.849609,18999.000000,19072.849609,18688.906250,34097
2021-10-12,19099.000000,19440.400391,18990.500000,19414.650391,19023.826172,11039
2021-10-13,19480.000000,19480.000000,19220.650391,19318.800781,18929.904297,8066
2021-10-14,19500.000000,19500.000000,19227.300781,19320.150391,18931.228516,1134
2021-10-18,19501.050781,19599.949219,19211.000000,19427.250000,19036.169922,2166
2021-10-19,19544.699219,19733.500000,19285.400391,19377.500000,18987.421875,2424
2021-10-20,19499.000000,20200.000000,19054.449219,19273.699219,18885.712891,42939
2021-10-21,19549.000000,19549.000000,19060.150391,19247.150391,18859.697266,1369
2021-10-22,19445.000000,19445.000000,18850.000000,19009.949219,18627.269531,2928
2021-10-25,18950.000000,19009.949219,18611.000000,18692.000000,18315.720703,3363
2021-10-26,18799.000000,19273.800781,18637.699219,19214.099609,18938.763672,2139
2021-10-27,19218.000000,19415.000000,18911.449219,19004.150391,18731.824219,1628
2021-10-28,19076.900391,19100.000000,18861.449219,18997.349609,18725.119141,767
2021-10-29,19089.949219,19107.050781,18762.800781,19002.000000,18729.703125,2057
2021-11-01,19100.000000,19100.000000,18741.550781,18957.250000,18685.595703,1325
2021-11-02,18870.000000,19025.800781,18708.550781,18773.800781,18504.773438,1953
2021-11-03,18890.000000,18890.000000,18569.000000,18727.250000,18458.892578,1557
2021-11-04,18914.500000,18947.550781,18850.000000,18895.949219,18625.173828,381
2021-11-08,18970.000000,19085.550781,18678.050781,19050.300781,18777.312500,2052
2021-11-09,19070.000000,19070.000000,18800.050781,18914.550781,18643.507813,1811
2021-11-10,18940.050781,19030.750000,18803.400391,18954.400391,18682.785156,808
2021-11-11,18949.000000,18949.000000,18674.050781,18880.650391,18610.093750,1698
2021-11-12,18817.349609,19250.000000,18817.349609,19134.599609,18860.404297,2551
2021-11-15,19210.800781,19498.900391,19089.050781,19425.349609,19146.986328,3297
2021-11-16,19352.050781,19588.750000,19331.699219,19463.150391,19184.246094,998
2021-11-17,19403.550781,19560.000000,19371.199219,19462.250000,19183.357422,1126
2021-11-18,19158.000000,19470.699219,19158.000000,19400.199219,19122.195313,767
2021-11-22,19400.000000,19500.000000,18850.000000,19005.699219,18733.349609,1085
2021-11-23,19100.000000,19246.050781,18893.250000,19164.000000,18889.382813,1167
2021-11-24,19105.000000,19500.000000,18947.800781,19105.449219,18831.669922,869
2021-11-25,18953.300781,19211.150391,18925.000000,19188.349609,18913.382813,1110
2021-11-26,19149.000000,19430.000000,18987.050781,19210.349609,18935.066406,4503
2021-11-29,19170.000000,19170.000000,18802.000000,19005.750000,18733.400391,1832
2021-11-30,19099.000000,19417.250000,18972.199219,19159.099609,18884.552734,5073
2021-12-01,19258.050781,19438.000000,19182.800781,19388.500000,19110.666016,1572
2021-12-02,19440.000000,19640.000000,19230.150391,19503.949219,19224.458984,4892
2021-12-03,19400.000000,19438.599609,19136.099609,19305.400391,19028.755859,3084
2021-12-06,19480.000000,19480.000000,18925.449219,18993.199219,18721.029297,1962
2021-12-07,19206.599609,19430.000000,18972.099609,19336.099609,19059.017578,10791
2021-12-08,19359.599609,19510.000000,19310.650391,19476.150391,19197.060547,5141
2021-12-09,19532.349609,19554.949219,19175.000000,19283.000000,19006.677734,1645
2021-12-10,19298.949219,19312.449219,19039.000000,19273.449219,18997.261719,2918
2021-12-13,19260.000000,19348.300781,18925.599609,19001.750000,18729.457031,2673
2021-12-14,18926.000000,19314.150391,18925.000000,19197.900391,18922.796875,1599
2021-12-15,19198.000000,19300.000000,19048.099609,19151.349609,18876.912109,1027
2021-12-16,19151.349609,19329.050781,19129.500000,19268.699219,18992.582031,943
2021-12-17,19080.000000,19226.000000,19001.000000,19055.550781,18782.486328,1531
2021-12-20,19074.949219,19254.000000,18606.300781,18893.699219,18622.955078,1988
2021-12-21,19080.000000,19271.449219,18902.599609,19227.699219,18952.167969,1359
2021-12-22,19155.000000,19332.400391,19019.750000,19184.349609,18909.439453,1482
2021-12-23,19237.849609,19296.050781,19158.349609,19207.000000,18931.763672,661
2021-12-24,19214.000000,19425.000000,19170.750000,19218.099609,18942.705078,1054
